id	created_at	updated_at	id_usuario	id_tema	bajo	regular	bueno	id	nombre	apellido_paterno	apellido_materno	matricula	password	nivel_academico	id_rol	created_at	updated_at	foto	eliminado
1291	NULL	NULL	86	37	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1292	NULL	NULL	86	35	100	0	0	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1293	NULL	NULL	86	6	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1294	NULL	NULL	86	7	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1295	NULL	NULL	86	81	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1296	NULL	NULL	86	36	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1297	NULL	NULL	86	8	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1298	NULL	NULL	86	9	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1299	NULL	NULL	86	80	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
1301	NULL	NULL	86	25	0	0	100	86	Prueba	Prueba 	Prueba 	1000	$2a$10$Oz6pVSvkygUCKmRhKsdzcOH7Cnis4XxUGDB7Dfay9/MKvmXiyLPam	NULL	2	2021-07-07 17:03:38	2022-02-01 16:37:04	perfil.png	1
